timestamp,raw_value,attention,label
1644694646.9542933,70,48,0
1644694646.9565685,106,48,0
1644694646.9575665,108,48,0
1644694646.9605174,74,48,0
1644694646.9615145,34,48,0
1644694646.9635105,17,48,0
1644694646.966539,26,48,0
1644694646.967649,50,48,0
1644694646.9705317,64,48,0
1644694646.9714885,52,48,0
1644694646.9765248,20,48,0
1644694646.9775925,3,48,0
1644694646.9786031,-4,48,0
1644694646.9815922,-7,48,0
1644694646.9826255,4,48,0
1644694646.9836247,4,48,0
1644694646.985578,-20,48,0
1644694646.9875746,-34,48,0
1644694646.9885743,-24,48,0
1644694646.9915614,-22,48,0
1644694646.9925582,-22,48,0
1644694646.9955487,-19,48,0
1644694646.9975429,-17,48,0
1644694646.9985406,-18,48,0
1644694647.001533,-24,48,0
1644694647.00253,-39,48,0
1644694647.0045247,-46,48,0
1644694647.0065193,-45,48,0
1644694647.008515,-37,48,0
1644694647.0105422,-23,48,0
1644694647.012511,-12,48,0
1644694647.0145042,-21,48,0
1644694647.0165083,-42,48,0
1644694647.0185034,-56,48,0
1644694647.020485,-42,48,0
1644694647.022483,-8,48,0
1644694647.0234761,16,48,0
1644694647.0264707,10,48,0
1644694647.0285008,2,48,0
1644694647.030494,9,48,0
1644694647.0327358,44,48,0
1644694647.033952,71,48,0
1644694647.0367653,64,48,0
1644694647.0379543,34,48,0
1644694647.039755,6,48,0
1644694647.0417104,4,48,0
1644694647.0437083,32,48,0
1644694647.046701,59,48,0
1644694647.0477347,60,48,0
1644694647.048735,32,48,0
1644694647.0517251,11,48,0
1644694647.0537193,25,48,0
1644694647.0547163,40,48,0
1644694647.0576718,40,48,0
1644694647.0606623,42,48,0
1644694647.0616834,48,48,0
1644694647.063782,42,48,0
1644694647.0649612,32,48,0
1644694647.0680845,12,48,0
1644694647.0689476,11,48,0
1644694647.0719013,38,48,0
1644694647.0719013,71,48,0
1644694647.075903,98,48,0
1644694647.077889,100,48,0
1644694647.0789218,88,48,0
1644694647.081913,87,48,0
1644694647.08291,89,48,0
1644694647.0848675,82,48,0
1644694647.0858662,72,48,0
1644694647.0888534,65,48,0
1644694647.0918467,70,48,0
1644694647.0928473,69,48,0
1644694647.0948377,61,48,0
1644694647.0969286,61,48,0
1644694647.0989196,74,48,0
1644694647.099918,85,48,0
1644694647.1028798,84,48,0
1644694647.1041188,76,48,0
1644694647.1060805,59,48,0
1644694647.1088593,45,48,0
1644694647.1108508,51,48,0
1644694647.1108508,65,48,0
1644694647.1139445,76,48,0
1644694647.1160526,83,48,0
1644694647.1180553,80,48,0
1644694647.1200476,74,48,0
1644694647.1230392,69,48,0
1644694647.1240356,64,48,0
1644694647.1260378,64,48,0
1644694647.128033,57,48,0
1644694647.1300888,29,48,0
1644694647.1310542,-10,48,0
1644694647.1340513,-30,48,0
1644694647.1350503,-23,48,0
1644694647.1379995,7,48,0
1644694647.140033,40,48,0
1644694647.1419914,65,48,0
1644694647.1429899,82,48,0
1644694647.1449802,86,48,0
1644694647.147976,68,48,0
1644694647.1489916,40,48,0
1644694647.1511633,23,48,0
1644694647.152357,29,48,0
1644694647.1555805,29,48,0
1644694647.156441,0,48,0
1644694647.1593459,-25,48,0
1644694647.160416,-17,48,0
1644694647.162488,9,48,0
1644694647.1653304,23,48,0
1644694647.1663263,19,48,0
1644694647.1683195,11,48,0
1644694647.1713448,-3,48,0
1644694647.1723437,-19,48,0
1644694647.176347,-17,48,0
1644694647.177508,-5,48,0
